device_id,type,type_specific,size_inch,size_cm2,screen_body_ratio,resolution_pixel,resolution_p_width,resolution_p_lenght,resolution_ppi,resolution_ratio
7773,IPS,IPS LCD,5.5,83.4,71.6,720 x 1280,720.0,1280.0,267.0,16:9
7675,IPS,IPS LCD,5.7,89.6,72.7,1080 x 1920,1080.0,1920.0,386.0,16:9
7606,IPS,IPS LCD,5.7,89.6,70.8,1440 x 2560,1440.0,2560.0,515.0,16:9
7556,IPS,IPS LCD,5.2,74.9,70.2,1080 x 1920,1080.0,1920.0,423.0,16:9
7575,IPS,IPS LCD,5.0,68.9,67.6,720 x 1280,720.0,1280.0,294.0,16:9
7496,IPS,IPS LCD,8.0,185.6,70.9,800 x 1280,800.0,1280.0,189.0,16:10
7451,IPS,IPS LCD,3.2,30.5,44.1,320 x 480,320.0,480.0,180.0,3:2
7442,IPS,IPS LCD,4.5,55.8,66.2,480 x 854,480.0,854.0,218.0,16:9
7437,IPS,IPS LCD,5.0,68.9,68.3,480 x 854,480.0,854.0,196.0,16:9
7363,IPS,IPS LCD,5.2,74.9,72.3,1080 x 1920,1080.0,1920.0,423.0,16:9
7250,IPS,IPS LCD,5.0,68.9,70.7,720 x 1280,720.0,1280.0,294.0,16:9
7253,IPS,IPS LCD,5.5,83.4,73.4,1440 x 2560,1440.0,2560.0,534.0,16:9
7245,IPS,IPS LCD,5.7,89.6,73.2,720 x 1280,720.0,1280.0,258.0,16:9
7212,IPS,IPS LCD,5.7,89.6,73.3,720 x 1280,720.0,1280.0,258.0,16:9
7148,IPS,IPS LCD,5.0,68.9,69.1,720 x 1280,720.0,1280.0,294.0,16:9
7051,IPS,IPS LCD,5.0,68.9,70.5,720 x 1280,720.0,1280.0,294.0,16:9
7052,IPS,IPS LCD,4.7,60.9,69.1,720 x 1280,720.0,1280.0,312.0,16:9
7053,IPS,IPS LCD,4.5,55.8,66.2,480 x 854,480.0,854.0,218.0,16:9
7054,TFT,TFT,4.0,45.5,58.0,480 x 800,480.0,800.0,233.0,5:3
6916,OLED,Curved P-OLED,5.5,82.6,73.5,1080 x 1920,1080.0,1920.0,403.0,16:9
6812,IPS,IPS LCD,4.5,57.6,66.7,480 x 800,480.0,800.0,207.0,5:3
6776,IPS,IPS LCD,4.5,57.6,66.6,480 x 800,480.0,800.0,207.0,5:3
6764,IPS,True HD-IPS+ LCD,5.5,83.4,76.4,1440 x 2560,1440.0,2560.0,534.0,16:9
6750,IPS,IPS LCD,5.9,96.0,74.3,1080 x 1920,1080.0,1920.0,373.0,16:9
6709,IPS,IPS LCD,4.5,57.6,66.6,480 x 800,480.0,800.0,207.0,5:3
6606,TFT,TFT,4.3,52.6,64.0,480 x 800,480.0,800.0,217.0,5:3
6555,IPS,IPS LCD,5.5,83.4,73.6,540 x 960,540.0,960.0,200.0,16:9
6593,IPS,IPS LCD,5.0,68.9,70.7,480 x 854,480.0,854.0,196.0,16:9
6592,IPS,IPS LCD,4.5,57.6,66.6,480 x 800,480.0,800.0,207.0,5:3
6575,IPS,IPS LCD,8.0,187.6,71.6,800 x 1280,800.0,1280.0,188.0,16:10
6569,IPS,IPS LCD,5.7,89.6,74.4,720 x 1280,720.0,1280.0,258.0,16:9
6562,IPS,IPS LCD,5.2,74.5,73.8,1080 x 1920,1080.0,1920.0,424.0,16:9
6554,IPS,IPS LCD,7.0,142.1,66.0,800 x 1280,800.0,1280.0,216.0,16:10
6546,TFT,TFT,4.0,45.5,55.9,480 x 800,480.0,800.0,233.0,5:3
6545,IPS,IPS LCD,5.7,89.6,74.2,720 x 1280,720.0,1280.0,258.0,16:9
6520,IPS,True HD-IPS+ LCD,5.5,83.4,76.4,1440 x 2560,1440.0,2560.0,534.0,16:9
6475,IPS,IPS LCD,5.0,68.9,71.9,720 x 1280,720.0,1280.0,294.0,16:9
6315,IPS,IPS LCD,4.3,52.6,61.9,480 x 800,480.0,800.0,217.0,5:3
6572,IPS,True HD-IPS+ LCD,5.5,82.2,75.2,1440 x 2560,1440.0,2560.0,538.0,16:9
6294,IPS,True HD-IPS+ LCD,5.5,82.2,75.3,1440 x 2560,1440.0,2560.0,538.0,16:9
6357,IPS,IPS LCD,4.7,60.9,70.1,540 x 960,540.0,960.0,234.0,16:9
6353,IPS,IPS LCD,8.0,185.6,70.9,800 x 1280,800.0,1280.0,189.0,16:10
6352,IPS,IPS LCD,7.0,142.1,66.0,800 x 1280,800.0,1280.0,216.0,16:10
7038,IPS,IPS LCD,5.0,71.2,69.3,480 x 800,480.0,800.0,187.0,5:3
6326,IPS,IPS LCD,4.7,60.9,70.1,540 x 960,540.0,960.0,234.0,16:9
6307,IPS,IPS LCD,4.3,52.6,61.9,480 x 800,480.0,800.0,217.0,5:3
6173,IPS,IPS LCD,8.3,199.8,72.8,1200 x 1920,1200.0,1920.0,273.0,16:10
6133,IPS,IPS LCD,4.5,57.6,68.2,480 x 800,480.0,800.0,207.0,5:3
6118,IPS,IPS LCD,4.7,60.9,71.2,540 x 960,540.0,960.0,234.0,16:9
6117,IPS,IPS LCD,4.7,60.9,71.2,540 x 960,540.0,960.0,234.0,16:9
6077,IPS,IPS LCD,4.7,60.9,71.2,540 x 960,540.0,960.0,234.0,16:9
6171,IPS,IPS LCD,4.7,60.9,70.1,540 x 960,540.0,960.0,234.0,16:9
6100,IPS,IPS LCD,4.7,60.9,70.1,540 x 960,540.0,960.0,234.0,16:9
6285,IPS,IPS LCD,4.5,57.6,67.8,480 x 800,480.0,800.0,207.0,5:3
6101,IPS,IPS LCD,4.5,57.6,67.8,480 x 800,480.0,800.0,207.0,5:3
6286,IPS,IPS LCD,3.5,36.5,56.5,320 x 480,320.0,480.0,165.0,3:2
6102,IPS,IPS LCD,3.5,36.5,56.5,320 x 480,320.0,480.0,165.0,3:2
6052,IPS,True IPS+ LCD,5.9,96.0,74.2,1080 x 1920,1080.0,1920.0,373.0,16:9
6032,TFT,TFT,3.0,27.9,46.1,240 x 320,240.0,320.0,133.0,4:3
5998,IPS,IPS LCD,4.0,45.5,57.7,480 x 800,480.0,800.0,233.0,5:3
5901,IPS,True Full HD-IPS+ LCD,5.5,83.4,72.8,1080 x 1920,1080.0,1920.0,401.0,16:9
5705,IPS,True HD-IPS+,4.95,67.5,70.8,1080 x 1920,1080.0,1920.0,445.0,16:9
5806,OLED,Curved P-OLED,6.0,99.2,75.8,720 x 1280,720.0,1280.0,245.0,16:9
5772,IPS,IPS LCD,5.5,83.4,72.2,540 x 960,540.0,960.0,200.0,16:9
5736,IPS,IPS LCD,5.5,83.4,72.2,540 x 960,540.0,960.0,200.0,16:9
5750,IPS,IPS LCD,3.2,31.7,51.0,240 x 320,240.0,320.0,125.0,4:3
5673,IPS,IPS LCD,8.3,199.8,72.8,1200 x 1920,1200.0,1920.0,273.0,16:10
5543,IPS,True HD-IPS+ LCD,5.2,74.5,75.9,1080 x 1920,1080.0,1920.0,424.0,16:9
5650,IPS,True HD-IPS LCD,4.7,60.9,71.3,720 x 1280,720.0,1280.0,312.0,16:9
5649,TFT,TFT,4.0,45.5,78.4,480 x 800,480.0,800.0,233.0,5:3
5602,IPS,True HD-IPS+ LCD,4.7,60.9,64.6,720 x 1280,720.0,1280.0,312.0,16:9
5488,IPS,IPS LCD,3.8,43.0,58.9,320 x 480,320.0,480.0,152.0,3:2
5487,IPS,IPS LCD,3.8,43.0,59.1,320 x 480,320.0,480.0,152.0,3:2
5554,TFT,TFT,3.2,31.7,50.3,240 x 320,240.0,320.0,125.0,4:3
5509,IPS,IPS LCD,4.0,45.5,63.3,480 x 800,480.0,800.0,233.0,5:3
5390,IPS,AH IPS LCD,4.3,51.0,66.3,540 x 960,540.0,960.0,256.0,16:9
5315,IPS,True HD-IPS LCD,4.7,60.5,67.4,720 x 1280,720.0,1280.0,313.0,16:9
5722,IPS,IPS LCD,4.5,55.8,66.2,540 x 960,540.0,960.0,245.0,16:9
5316,IPS,IPS LCD,4.3,51.0,62.7,540 x 960,540.0,960.0,256.0,16:9
5254,IPS,True Full HD-IPS+ LCD,5.5,83.4,73.0,1080 x 1920,1080.0,1920.0,401.0,16:9
5372,IPS,IPS LCD,4.3,52.6,64.7,480 x 800,480.0,800.0,217.0,5:3
5275,IPS,IPS LCD,4.3,52.6,65.0,480 x 800,480.0,800.0,217.0,5:3
5373,IPS,IPS LCD,4.0,45.5,61.8,480 x 800,480.0,800.0,233.0,5:3
5293,IPS,IPS LCD,4.0,45.5,62.3,480 x 800,480.0,800.0,233.0,5:3
5389,IPS,IPS LCD,3.2,31.7,50.3,240 x 320,240.0,320.0,125.0,4:3
5292,IPS,IPS LCD,3.2,31.7,50.6,240 x 320,240.0,320.0,125.0,4:3
5608,TFT,TFT,3.0,27.9,45.8,240 x 320,240.0,320.0,133.0,4:3
5048,IPS,True HD-IPS+,4.7,62.9,68.3,768 x 1280,768.0,1280.0,318.0,5:3
5078,IPS,True HD-IPS LCD,4.7,60.9,66.1,720 x 1280,720.0,1280.0,312.0,16:9
5032,IPS,IPS LCD,4.0,45.5,59.4,480 x 800,480.0,800.0,233.0,5:3
5025,IPS,IPS LCD,4.5,55.8,63.5,540 x 960,540.0,960.0,245.0,16:9
5062,IPS,True HD-IPS+ LCD,4.7,62.9,67.1,768 x 1280,768.0,1280.0,318.0,5:3
4751,IPS,True HD-IPS+ LCD,4.7,62.9,69.2,768 x 1280,768.0,1280.0,318.0,5:3
4941,IPS,True HD-IPS+ LCD,4.7,62.9,69.2,768 x 1280,768.0,1280.0,318.0,5:3
5005,IPS,HD-IPS LCD,5.0,77.4,61.3,768 x 1024,768.0,1024.0,256.0,4:3
4982,IPS,IPS LCD,4.3,52.6,62.8,480 x 800,480.0,800.0,217.0,5:3
4981,IPS,IPS LCD,4.3,51.0,62.2,540 x 960,540.0,960.0,256.0,16:9
4964,IPS,IPS LCD,4.0,47.6,60.6,320 x 480,320.0,480.0,144.0,3:2
4955,IPS,IPS LCD,4.7,60.9,67.7,540 x 960,540.0,960.0,234.0,16:9
4948,TFT,TFT,3.5,36.5,53.9,320 x 480,320.0,480.0,165.0,3:2
4932,IPS,HD-IPS LCD,5.0,77.4,61.3,768 x 1024,768.0,1024.0,256.0,4:3
4835,TFT,TFT,3.2,31.7,50.2,240 x 320,240.0,320.0,125.0,4:3
4749,TFT,TFT,3.5,36.5,49.5,320 x 480,320.0,480.0,165.0,3:2
4739,IPS,True HD-IPS LCD,4.7,60.9,65.0,720 x 1280,720.0,1280.0,312.0,16:9
4717,IPS,True HD-IPS LCD,4.5,55.8,61.9,720 x 1280,720.0,1280.0,326.0,16:9
4653,IPS,IPS LCD,4.0,45.5,61.5,480 x 800,480.0,800.0,233.0,5:3
4649,TFT,TFT,3.5,36.5,51.1,320 x 480,320.0,480.0,165.0,3:2
4563,IPS,True HD-IPS LCD,4.7,60.9,67.5,720 x 1280,720.0,1280.0,312.0,16:9
4562,LCD,3D LCD,4.3,52.6,61.6,480 x 800,480.0,800.0,217.0,5:3
4545,IPS,3D IPS LCD,4.3,52.6,61.6,480 x 800,480.0,800.0,217.0,5:3
4565,IPS,IPS LCD,4.3,52.6,62.6,480 x 800,480.0,800.0,217.0,5:3
4571,IPS,IPS LCD,4.0,47.6,60.6,320 x 480,320.0,480.0,144.0,3:2
4554,IPS,HD-IPS LCD,5.0,77.4,61.3,768 x 1024,768.0,1024.0,256.0,4:3
4461,TFT,TFT,3.2,31.7,50.2,240 x 320,240.0,320.0,125.0,4:3
4430,TFT,TFT,4.0,44.5,61.3,480 x 840,480.0,840.0,242.0,16:9
4416,TFT,TFT,4.0,45.5,62.8,480 x 800,480.0,800.0,233.0,5:3
4377,IPS,HD-IPS LCD,4.5,55.8,59.9,720 x 1280,720.0,1280.0,326.0,16:9
4064,IPS,IPS LCD,4.3,52.6,59.8,480 x 800,480.0,800.0,217.0,5:3
4329,IPS,AH-IPS LCD,4.5,55.8,61.5,720 x 1280,720.0,1280.0,326.0,16:9
4353,IPS,True HD-IPS LCD,4.5,55.8,61.4,720 x 1280,720.0,1280.0,326.0,16:9
4257,TFT,TFT,3.5,36.5,46.8,320 x 480,320.0,480.0,165.0,3:2
4213,IPS,HD-IPS LCD,4.5,55.8,61.9,720 x 1280,720.0,1280.0,326.0,16:9
4188,IPS,HD-IPS LCD,4.5,55.8,61.9,720 x 1280,720.0,1280.0,326.0,16:9
