device_id,sound
9876,Jack
9876,Loudspeaker
9718,Jack
9718,Loudspeaker
9597,Jack
9597,Loudspeaker
9542,Jack
9542,Loudspeaker
9482,Jack
9482,Loudspeaker
9470,Jack
9470,Loudspeaker
9360,Jack
9360,Loudspeaker
9325,Jack
9325,Loudspeaker
9314,Jack
9314,Loudspeaker
9307,0.0
9307,Loudspeaker
9302,Jack
9302,Loudspeaker
9301,Jack
9301,Loudspeaker
9277,Jack
9277,Loudspeaker
9254,Jack
9254,Loudspeaker
9253,Jack
9253,Loudspeaker
9223,Jack
9223,Loudspeaker
9184,Jack
9184,Loudspeaker
9165,Jack
9165,Loudspeaker
9154,Jack
9154,Loudspeaker
9146,Jack
9146,Loudspeaker
9131,Jack
9131,Loudspeaker
9072,Jack
9072,Loudspeaker
9064,Jack
9064,Loudspeaker
9063,Jack
9063,Loudspeaker
9007,Jack
9007,Loudspeaker
8835,Jack
8835,Loudspeaker
8621,Jack
8621,Loudspeaker
7892,Jack
7892,Loudspeaker
7558,Jack
7558,Loudspeaker
7523,Jack
7523,Loudspeaker
6928,Jack
6928,Loudspeaker
6927,Jack
6927,Loudspeaker
6925,Jack
6925,Loudspeaker
6924,Jack
6924,Loudspeaker
6900,Jack
6900,Loudspeaker
6899,Jack
6899,Loudspeaker
6838,Jack
6838,Loudspeaker
6835,Jack
6835,Loudspeaker
6669,Jack
6669,Loudspeaker
6565,Jack
6565,Loudspeaker
6567,Jack
6567,Loudspeaker
6406,Jack
6406,Loudspeaker
6405,Jack
6405,Loudspeaker
6346,Jack
6346,Loudspeaker
6330,Jack
6330,Loudspeaker
6277,Jack
6277,Loudspeaker
6276,Jack
6276,Loudspeaker
6244,Jack
6244,Loudspeaker
6243,Jack
6243,Loudspeaker
6242,Jack
6242,Loudspeaker
6041,Jack
6041,Loudspeaker
5986,Jack
5986,Loudspeaker
5957,Jack
5957,Loudspeaker
5956,Jack
5956,Loudspeaker
5955,Jack
5955,Loudspeaker
5954,Jack
5954,Loudspeaker
5935,Jack
5935,Loudspeaker
5920,Jack
5920,Loudspeaker
5909,Jack
5909,Loudspeaker
5908,Jack
5908,Loudspeaker
5873,Jack
5873,Loudspeaker
5761,Jack
5761,Loudspeaker
5661,Jack
5661,Loudspeaker
5660,Jack
5660,Loudspeaker
5662,Jack
5662,Loudspeaker
5593,Jack
5593,Loudspeaker
5489,Jack
5489,Loudspeaker
5458,Jack
5458,Loudspeaker
5459,Jack
5459,Loudspeaker
5460,Jack
5460,Loudspeaker
5411,Jack
5411,Loudspeaker
5360,Jack
5360,Loudspeaker
5358,Jack
5358,Loudspeaker
5359,Jack
5359,Loudspeaker
5295,Jack
5295,Loudspeaker
5282,Jack
5282,Loudspeaker
5281,Jack
5281,Loudspeaker
5209,Jack
5209,Loudspeaker
5208,Jack
5208,Loudspeaker
5206,Jack
5206,Loudspeaker
5205,Jack
5205,Loudspeaker
5202,Jack
5202,Loudspeaker
5201,Jack
5201,Loudspeaker
5023,Jack
5023,Loudspeaker
4947,Jack
4947,Loudspeaker
4946,Jack
4946,Loudspeaker
4901,Jack
4901,Loudspeaker
4370,Jack
4370,Loudspeaker
4224,Jack
4224,Loudspeaker
3548,Jack
3548,Loudspeaker
12454,Jack
12454,Loudspeaker
12269,Jack
12269,Loudspeaker
12522,0.0
12522,Loudspeaker
12523,Jack
12523,Loudspeaker
11948,Jack
11948,Loudspeaker
11642,Jack
11642,Loudspeaker
10790,Jack
10790,Loudspeaker
10681,0.0
10681,Loudspeaker
10529,Jack
10529,Loudspeaker
10594,Jack
10594,Loudspeaker
10357,Jack
10357,Loudspeaker
10593,Jack
10593,Loudspeaker
10592,Jack
10592,Loudspeaker
10595,Jack
10595,Loudspeaker
10297,Jack
10297,Loudspeaker
9965,Jack
9965,Loudspeaker
9924,Jack
9924,Loudspeaker
9797,Jack
9797,Loudspeaker
9735,0.0
9735,Loudspeaker
9734,Jack
9734,Loudspeaker
9487,Jack
9487,Loudspeaker
9179,Jack
9179,Loudspeaker
9119,0.0
9119,Loudspeaker
9102,Jack
9102,Loudspeaker
9071,Jack
9071,Loudspeaker
8990,0.0
8990,Loudspeaker
8908,0.0
8908,Loudspeaker
8885,0.0
8885,Loudspeaker
8630,0.0
8630,Loudspeaker
8519,0.0
8519,Loudspeaker
8518,0.0
8518,Loudspeaker
8404,0.0
8404,Loudspeaker
8444,Jack
8444,Loudspeaker
8277,Jack
8277,Loudspeaker
8884,Jack
8884,Loudspeaker
8297,Jack
8297,Loudspeaker
8276,Jack
8276,Loudspeaker
8633,Jack
8633,Loudspeaker
8128,Jack
8128,Loudspeaker
8086,Jack
8086,Loudspeaker
8066,Jack
8066,Loudspeaker
8072,Jack
8072,Loudspeaker
8031,Jack
8031,Loudspeaker
7884,Jack
7884,Loudspeaker
7942,Jack
7942,Loudspeaker
7941,Jack
7941,Loudspeaker
7940,Jack
7940,Loudspeaker
8348,Jack
8348,Loudspeaker
7836,Jack
7836,Loudspeaker
7758,Jack
7758,Loudspeaker
7731,Jack
7731,Loudspeaker
7753,Jack
7753,Loudspeaker
7627,Jack
7627,Loudspeaker
7592,Jack
7592,Loudspeaker
7591,Jack
7591,Loudspeaker
7576,Jack
7576,Loudspeaker
7418,Jack
7418,Loudspeaker
7419,Jack
7419,Loudspeaker
7275,Jack
7275,Loudspeaker
7267,Jack
7267,Loudspeaker
7194,Jack
7194,Loudspeaker
6977,Jack
6977,Loudspeaker
7165,Jack
7165,Loudspeaker
7111,Jack
7111,Loudspeaker
7310,Jack
7310,Loudspeaker
6891,Jack
6891,Loudspeaker
7115,Jack
7115,Loudspeaker
7183,Jack
7183,Loudspeaker
6968,Jack
6968,Loudspeaker
6947,Jack
6947,Loudspeaker
6921,Jack
6921,Loudspeaker
6913,Jack
6913,Loudspeaker
6841,Jack
6841,Loudspeaker
6830,Jack
6830,Loudspeaker
6736,Jack
6736,Loudspeaker
6713,Jack
6713,Loudspeaker
6715,Jack
6715,Loudspeaker
6719,Jack
6719,Loudspeaker
6854,Jack
6854,Loudspeaker
6637,Jack
6637,Loudspeaker
6636,Jack
6636,Loudspeaker
6621,Jack
6621,Loudspeaker
6608,Jack
6608,Loudspeaker
6589,Jack
6589,Loudspeaker
6588,Jack
6588,Loudspeaker
6581,Jack
6581,Loudspeaker
6528,Jack
6528,Loudspeaker
6483,Jack
6483,Loudspeaker
6463,Jack
6463,Loudspeaker
6397,Jack
6397,Loudspeaker
6345,Jack
6345,Loudspeaker
6234,Jack
6234,Loudspeaker
6316,Jack
6316,Loudspeaker
6233,Jack
6233,Loudspeaker
6074,Jack
6074,Loudspeaker
6009,Jack
6009,Loudspeaker
6487,Jack
6487,Loudspeaker
6073,Jack
6073,Loudspeaker
6160,Jack
6160,Loudspeaker
5907,Jack
5907,Loudspeaker
6552,Jack
6552,Loudspeaker
5870,Jack
5870,Loudspeaker
5871,Jack
5871,Loudspeaker
5704,Jack
5704,Loudspeaker
5666,Jack
5666,Loudspeaker
5667,Jack
5667,Loudspeaker
5623,Jack
5623,Loudspeaker
5505,Jack
5505,Loudspeaker
5547,Jack
5547,Loudspeaker
5537,Jack
5537,Loudspeaker
5536,Jack
5536,Loudspeaker
5465,Jack
5465,Loudspeaker
5395,Jack
5395,Loudspeaker
5498,Jack
5498,Loudspeaker
5313,Jack
5313,Loudspeaker
5261,Jack
5261,Loudspeaker
5118,Jack
5118,Loudspeaker
5113,Jack
5113,Loudspeaker
5106,Jack
5106,Loudspeaker
5105,Jack
5105,Loudspeaker
5100,Jack
5100,Loudspeaker
5016,Jack
5016,Loudspeaker
4976,Jack
4976,Loudspeaker
5104,Jack
5104,Loudspeaker
4975,Jack
4975,Loudspeaker
5000,Jack
5000,Loudspeaker
4980,Jack
4980,Loudspeaker
4979,Jack
4979,Loudspeaker
4951,Jack
4951,Loudspeaker
4830,Jack
4830,Loudspeaker
5861,Jack
5861,Loudspeaker
4829,Jack
4829,Loudspeaker
4805,Jack
4805,Loudspeaker
4759,Jack
4759,Loudspeaker
4997,Jack
4997,Loudspeaker
4744,Jack
4744,Loudspeaker
4665,Jack
4665,Loudspeaker
4977,Jack
4977,Loudspeaker
4320,Jack
4320,Loudspeaker
4614,Jack
4614,Loudspeaker
4572,Jack
4572,Loudspeaker
4836,Jack
4836,Loudspeaker
4574,Jack
4574,Loudspeaker
4575,Jack
4575,Loudspeaker
4525,Jack
4525,Loudspeaker
4435,Jack
4435,Loudspeaker
4099,Jack
4099,Loudspeaker
4302,Jack
4302,Loudspeaker
4202,Jack
4202,Loudspeaker
4161,Jack
4161,Loudspeaker
4102,Jack
4102,Loudspeaker
4097,Jack
4097,Loudspeaker
3958,Jack
3958,Loudspeaker
4132,Jack
4132,Loudspeaker
4285,Jack
4285,Loudspeaker
4196,Jack
4196,Loudspeaker
4164,Jack
4164,Loudspeaker
4027,Jack
4027,Loudspeaker
4131,Jack
4131,Loudspeaker
4070,Jack
4070,Loudspeaker
4022,Jack
4022,Loudspeaker
3964,Jack
3964,Loudspeaker
3938,Jack
3938,Loudspeaker
3922,Jack
3922,Loudspeaker
3901,Jack
3901,Loudspeaker
3875,Jack
3875,Loudspeaker
3895,Jack
3895,Loudspeaker
3887,Jack
3887,Loudspeaker
3739,Jack
3739,Loudspeaker
3788,Jack
3788,Loudspeaker
3776,Jack
3776,Loudspeaker
3777,Jack
3777,Loudspeaker
3786,Jack
3786,Loudspeaker
3787,Jack
3787,Loudspeaker
3829,Jack
3829,Loudspeaker
3953,Jack
3953,Loudspeaker
3896,Jack
3896,Loudspeaker
3706,Jack
3706,Loudspeaker
3703,Jack
3703,Loudspeaker
3702,Jack
3702,Loudspeaker
3585,Jack
3585,Loudspeaker
3338,Jack
3338,Loudspeaker
3576,Jack
3576,Loudspeaker
3557,Jack
3557,Loudspeaker
3530,Jack
3530,Loudspeaker
3118,Jack
3118,Loudspeaker
3556,Jack
3556,Loudspeaker
3468,Jack
3468,Loudspeaker
3421,Jack
3421,Loudspeaker
5058,Jack
5058,Loudspeaker
3392,Jack
3392,Loudspeaker
3577,Jack
3577,Loudspeaker
3337,Jack
3337,Loudspeaker
3163,Jack
3163,Loudspeaker
3077,Jack
3077,Loudspeaker
3141,Jack
3141,Loudspeaker
3069,Jack
3069,Loudspeaker
3427,Jack
3427,Loudspeaker
12720,0.0
12720,Loudspeaker
12648,0.0
12648,Loudspeaker
12585,0.0
12585,Loudspeaker
12530,0.0
12530,Loudspeaker
12259,Jack
12259,Loudspeaker
12020,Jack
12020,Loudspeaker
11918,0.0
11918,Loudspeaker
11858,0.0
11858,Loudspeaker
11856,0.0
11856,Loudspeaker
11641,0.0
11641,Loudspeaker
11489,Jack
11489,Loudspeaker
11247,0.0
11247,Loudspeaker
11328,Jack
11328,Loudspeaker
11177,Jack
11177,Loudspeaker
11120,0.0
11120,Loudspeaker
11121,0.0
11121,Loudspeaker
11048,0.0
11048,Loudspeaker
11030,Jack
11030,Loudspeaker
10755,0.0
10755,Loudspeaker
10642,0.0
10642,Loudspeaker
10645,0.0
10645,Loudspeaker
10652,Jack
10652,Loudspeaker
10579,0.0
10579,Loudspeaker
10551,0.0
10551,Loudspeaker
10550,0.0
10550,Loudspeaker
10555,0.0
10555,Loudspeaker
10519,Jack
10519,Loudspeaker
10546,Jack
10546,Loudspeaker
10475,Jack
10475,Loudspeaker
10429,Jack
10429,Loudspeaker
10417,Jack
10417,Loudspeaker
10418,Jack
10418,Loudspeaker
10299,Jack
10299,Loudspeaker
10252,Jack
10252,Loudspeaker
10292,Jack
10292,Loudspeaker
10249,Jack
10249,Loudspeaker
10236,Jack
10236,Loudspeaker
10219,0.0
10219,Loudspeaker
10231,Jack
10231,Loudspeaker
10227,Jack
10227,Loudspeaker
10222,Jack
10222,Loudspeaker
10223,Jack
10223,Loudspeaker
10212,Jack
10212,Loudspeaker
10203,0.0
10203,Loudspeaker
10204,0.0
10204,Loudspeaker
10205,Jack
10205,Loudspeaker
11010,Jack
11010,Loudspeaker
10153,0.0
10153,Loudspeaker
10112,Jack
10112,Loudspeaker
10073,Jack
10073,Loudspeaker
10074,Jack
10074,Loudspeaker
10012,Jack
10012,Loudspeaker
9799,Jack
9799,Loudspeaker
9956,Jack
9956,Loudspeaker
9922,Jack
9922,Loudspeaker
9933,Jack
9933,Loudspeaker
9905,Jack
9905,Loudspeaker
9887,0.0
9887,Loudspeaker
9880,0.0
9880,Loudspeaker
9885,0.0
9885,Loudspeaker
9881,Jack
9881,Loudspeaker
9886,Jack
9886,Loudspeaker
9765,Jack
9765,Loudspeaker
9830,Jack
9830,Loudspeaker
9803,0.0
9803,Loudspeaker
9823,0.0
9823,Loudspeaker
9747,0.0
9747,Loudspeaker
9746,0.0
9746,Loudspeaker
9728,0.0
9728,Loudspeaker
9742,Jack
9742,Loudspeaker
9694,Jack
9694,Loudspeaker
9705,0.0
9705,Loudspeaker
9635,0.0
9635,Loudspeaker
9530,Jack
9530,Loudspeaker
9545,Jack
9545,Loudspeaker
9627,Jack
9627,Loudspeaker
9675,Jack
9675,Loudspeaker
9645,Jack
9645,Loudspeaker
9644,Jack
9644,Loudspeaker
9643,Jack
9643,Loudspeaker
9668,Jack
9668,Loudspeaker
9576,Jack
9576,Loudspeaker
9620,Jack
9620,Loudspeaker
9625,Jack
9625,Loudspeaker
9531,Jack
9531,Loudspeaker
9500,Jack
9500,Loudspeaker
9501,Jack
9501,Loudspeaker
9409,Jack
9409,Loudspeaker
9466,Jack
9466,Loudspeaker
9368,0.0
9368,Loudspeaker
9369,Jack
9369,Loudspeaker
9343,0.0
9343,Loudspeaker
9367,Jack
9367,Loudspeaker
9324,Jack
9324,Loudspeaker
9284,Jack
9284,Loudspeaker
9272,Jack
9272,Loudspeaker
9632,Jack
9632,Loudspeaker
9267,Jack
9267,Loudspeaker
9209,Jack
9209,Loudspeaker
9196,Jack
9196,Loudspeaker
9502,Jack
9502,Loudspeaker
9162,Jack
