Device ID,Name,Version
8130,Android,6.1
8129,Android,6.1
8106,Android,6.0.1
8111,Android,6.0.1
8262,Android,6
8097,Android,5.1
8095,Android,5.1
8045,Android,4.4
8048,Android,5.1
7866,Android,5.1
7733,Android,5
7577,Android,5.0
7368,Android,5.1
7476,Android,5.0.1
7475,Android,5.0
7479,Android,5.0
7757,Android,5.0
7477,Android,5.0
7478,Android,5.0
7474,Android,5.0
7473,Android,5.0
7444,Android,5.0
7378,Android,5.1.1
7255,Android,5.0
7256,Android,5.0
7261,Android,5.0
7044,Android,5.0
7120,Android,5.0
6917,Android,5.0
7045,Android,5.0.1
6982,Android,4.4.2
6953,Android,4.4
6918,Android,5.0
6897,Android,4.4
6737,Android,4.4.2
6630,Android,4.4.2
6629,Android,4.4.2
6429,Android,4.4.2
6428,Android,4.4.2
6414,Android,4.4.2
6413,Android,4.4.2
6412,Android,4.4.2
6394,Android,4.3
6519,Android,4.4.2
6238,Android,4.4.2
6120,Android,4.1
6853,Android,4.3
5953,Android,4.3
7160,Android,4.3
5952,Android,4.3
5891,Android,4.3
5706,Android,4.2.2
5675,Android,4.2.2
5674,Android,4.2
5494,Android,4.2
5329,Android,4.1
5328,Android,4.1.2
5249,Android,4.1
5091,Android,4.1
5017,Android,4.0
4850,Android,4.1.2
4422,Android,4.0.1
3965,Android,4.0
12603,Android,13
12459,Android,13
12458,Android,13
12457,Android,13
12456,Android,13
12153,Android,12
12102,Android,12
11830,Android,11
11829,Android,11
11828,Android,11
11757,Android,11
11716,Android,11
11715,Android,12
11673,Android,11
11672,Android,11
11643,Android,11
11509,Android,11
11368,Android,11
11348,Android,11
11319,Android,11
11318,Android,11
11258,Android,11
11096,Android,11
11095,Android,11
11094,Android,11
11073,Android,11
10934,Android,11
10935,Android,10
10781,Android,10
10745,Android,10
10741,Android,10
10730,Android,10
10729,Android,10
10731,Android,10
10732,Android,10
10607,Android,10
10535,Android,10
10537,Android,10
10538,Android,10
10540,Android,10
10539,Android,10
10470,Android,10
10453,Android,10
10403,Android,10
10359,Android,10
10313,Android,10
10312,Android,10
10160,Android,8.1
10107,Android,8.1
10106,Android,8.1
10105,Android,8.1
10047,Android,9.0
10046,Android,9.0
10045,Android,9.0
9967,Android,8.1
9930,Android,8.1
9929,Android,8.1
9855,Android,9.0
9877,Android,9.0
9876,Android,9.0
9718,Android,9.0
9597,Android,8.1
9542,Android,8.1
9482,Android,9.0
9470,Android,8.1
9360,Android,8.1
9325,Android,8.1
9314,Android,8.1
9307,Android,8.1
9302,Android,8.1
9301,Android,8.1
9277,Android,8.1
9254,Android,8.1
9253,Android,8.1
9223,Android,7.0
9184,Android,7.0
9165,Android,8.0
9154,Android,7.1
9146,Android,6.0
9131,Android,7.1.2
9072,Android,7.0
9064,Android,7.0
9063,Android,7.1.1
9007,Android,7.0
8835,Android,7.0
8621,Android,6.0
7892,Android,5.1
7558,Android,5.1
7523,Android,5.0
6928,Android,4.4.2
6927,Android,4.4.2
6925,Android,4.4.2
6924,Android,4.4.2
6900,Android,4.4.2
6899,Android,4.4.2
6838,Android,4.4.2
6835,Android,4.4.2
6669,Microsoft Windows Phone,8.1
6565,Android,4.4.2
6567,Android,4.4.2
6406,Android,4.2.2
6405,Android,4.2.2
6346,Android,4.2.2
6330,Android,4.2
6277,Android,4.2
6276,Android,4.2
6244,Android,4.2
6243,Android,4.2
6242,Android,4.2
6041,Android,4.2
5986,Android,4.2
5957,Android,4.2
5956,Android,4.2
5955,Android,4.2.1
5954,Android,4.2
5935,Android,4.2
5920,Android,4.2
5909,Android,4.2
5908,Android,4.2
5873,Android,4.2
5761,Android,4.2
5661,Android,4.2
5660,Android,4.2
5662,Android,2.3
5593,Android,4.2
5489,Android,4.0
5458,Android,4.1.2
5459,Android,4.1.2
5460,Android,4.1
5411,Android,2.3
5360,Android,4.2
5358,Android,4.2
5359,Android,4.2
5295,Android,4.1
5282,Android,4.0
5281,Android,4.0
5209,Android,4.2
5208,Android,2.3
5206,Android,4.0
