device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
11380,169.9 x 77.9 x 8.8,169.9,77.9,8.8,6.69 x 3.07 x 0.35,6.69,3.07,0.35,195.0,6.88
11382,154 x 75.9 x 10,154.0,75.9,10.0,6.06 x 2.99 x 0.39,6.06,2.99,0.39,180.0,6.35
11358,164.6 x 75.9 x 8.5,164.6,75.9,8.5,6.48 x 2.99 x 0.33,6.48,2.99,0.33,189.0,6.67
11356,164.6 x 75.9 x 8.5,164.6,75.9,8.5,6.48 x 2.99 x 0.33,6.48,2.99,0.33,190.0,6.7
11207,171.4 x 79.7 x 9.1,171.4,79.7,9.1,6.75 x 3.14 x 0.36,6.75,3.14,0.36,217.0,7.65
11135,169.4 x 78.4 x 9.3,169.4,78.4,9.3,6.67 x 3.09 x 0.37,6.67,3.09,0.37,210.1,7.41
11077,173.8 x 77.7 x 8.9,173.8,77.7,8.9,6.84 x 3.06 x 0.35,6.84,3.06,0.35,220.0,7.76
11013,171.6 x 81.5 x 10.6,171.6,81.5,10.6,6.76 x 3.21 x 0.42,6.76,3.21,0.42,248.0,8.75
10967,177.7 x 79.1 x 9.9,177.7,79.1,9.9,7.00 x 3.11 x 0.39,7.0,3.11,0.39,237.0,8.36
11019,148 x 71.8 x 9.3,148.0,71.8,9.3,5.83 x 2.83 x 0.37,5.83,2.83,0.37,154.0,5.43
10959,165.4 x 75.9 x 9.4,165.4,75.9,9.4,6.51 x 2.99 x 0.37,6.51,2.99,0.37,204.7,7.23
10955,148 x 71.8 x 9.3,148.0,71.8,9.3,5.83 x 2.83 x 0.37,5.83,2.83,0.37,157.0,5.54
10838,168.9 x 79.7 x 9.1,168.9,79.7,9.1,6.65 x 3.14 x 0.36,6.65,3.14,0.36,220.0,7.76
10840,168.9 x 79.7 x 9.1,168.9,79.7,9.1,6.65 x 3.14 x 0.36,6.65,3.14,0.36,210.0,7.41
10841,164.9 x 76 x 9.2,164.9,76.0,9.2,6.49 x 2.99 x 0.36,6.49,2.99,0.36,197.0,6.95
