Device_id,SIM Type,SIM Num
9643,Nano,Dual
9576,Nano,Dual
9620,Nano,Dual
9625,Nano,Dual
9531,Nano,Dual
9500,Nano,Dual
9501,Nano,Single
9501,Nano,Dual
9409,Nano,Dual
9466,Nano,Dual
9368,Nano,Single
9368,Nano,Dual
9369,Nano,Dual
9343,Nano,Single
9343,Nano,Dual
9367,Nano,Single
9367,Nano,Dual
9324,Nano,Single
9324,Nano,Dual
9284,Nano,Single
9284,Nano,Dual
9272,Nano,Dual
9632,Nano,Dual
9267,Nano,Single
9267,Nano,Dual
9209,Nano,Single
9209,Nano,Dual
9196,Micro,Single
9196,Micro,Dual
9502,Nano,Dual
9162,Nano,Dual
9141,Nano,Dual
9106,Nano,Single
9106,Nano,Dual
9107,Nano,Single
9107,Nano,Dual
9098,Nano,Single
9098,Nano,Dual
9188,Nano,Dual
9114,Nano,Dual
9265,Nano,Single
9265,Nano,Dual
9112,Nano,Dual
8961,Nano,Single
8961,Nano,Dual
8943,Nano,Dual
8899,Nano,Dual
8854,Nano,Single
8854,Nano,Dual
8877,Nano,Single
8877,Nano,Dual
8857,Nano,Single
8857,Nano,Dual
8833,Nano,Dual
8632,Nano,Dual
8703,Nano,Single
8703,Nano,Dual
8672,Nano,Single
8672,Nano,Dual
8663,Micro,Single
8663,Micro,Dual
8695,Nano,Single
8695,Nano,Dual
8640,Nano,Dual
8640,Micro,Dual
8686,Micro,Dual
8515,Nano,Single
8515,Nano,Dual
8514,Nano,Single
8514,Nano,Dual
8598,Nano,Single
8598,Nano,Dual
8516,Nano,Dual
8458,Micro,Dual
8396,Nano,Single
8396,Nano,Dual
8415,Nano,Dual
8073,Nano,Single
8073,Nano,Dual
8312,Nano,Single
8312,Nano,Dual
8284,Nano,Single
8284,Nano,Dual
8285,Nano,Dual
8037,Micro,Dual
8036,Micro,Dual
7983,Nano,Dual
7745,Nano,Single
7745,Nano,Dual
7972,Nano,Single
7972,Nano,Dual
7793,Nano,Dual
7793,Micro,Dual
7239,Nano,Dual
7647,Micro,Dual
7533,Nano,Single
7533,Nano,Dual
7440,Micro,Dual
7829,Micro,Single
7829,Micro,Dual
7206,Micro,Dual
7279,Nano,Dual
7279,Micro,Dual
7201,Nano,Dual
7201,Micro,Dual
7200,Nano,Dual
7200,Micro,Dual
7006,Nano,Dual
7076,Micro,Single
7076,Micro,Dual
7077,Micro,Dual
7077,Mini,Dual
6908,Mini,Single
6908,Mini,Dual
6896,Micro,Dual
6869,Nano,Dual
6869,Micro,Dual
6543,Nano,Dual
6543,Micro,Dual
6124,Nano,Single
6124,Nano,Dual
6124,Micro,Single
6124,Micro,Dual
5979,Micro,Dual
5910,Mini,Dual
5633,Mini,Dual
5699,Mini,Dual
5632,Mini,Dual
5467,Micro,Single
5467,Micro,Dual
5365,Mini,Dual
5250,Mini,Single
5250,Mini,Dual
5141,Mini,Dual
5383,Mini,Dual
4260,Mini,Dual
11924,Nano,Dual
11822,Nano,Dual
11498,Nano,Dual
11473,Nano,Dual
11747,Nano,Dual
12008,Nano,Single
12008,Nano,Dual
10972,Nano,Dual
10970,Nano,Dual
10630,Nano,Dual
10329,Nano,Dual
9821,Nano,Dual
9822,Nano,Dual
9757,Nano,Dual
9754,Nano,Dual
9711,Nano,Dual
9671,Nano,Dual
9655,Nano,Dual
9609,Nano,Dual
9490,Nano,Dual
9436,Nano,Dual
9489,Nano,Dual
9349,Nano,Dual
9375,Nano,Dual
9374,Nano,Dual
9371,Nano,Dual
9222,Nano,Dual
9226,Nano,Dual
9144,Nano,Dual
9143,Nano,Dual
9116,Nano,Dual
8973,Micro,Dual
8834,Nano,Dual
8850,Nano,Dual
8794,Nano,Dual
8603,Nano,Single
8603,Nano,Dual
8602,Nano,Dual
8423,Nano,Dual
8376,Micro,Dual
8375,Micro,Dual
8506,Micro,Single
8506,Micro,Dual
8320,Micro,Dual
8319,Nano,Single
8319,Nano,Dual
8318,Nano,Single
8318,Nano,Dual
8317,Nano,Single
8317,Nano,Dual
8316,Nano,Single
8316,Nano,Dual
8208,Mini,Dual
8193,Micro,Dual
8147,Nano,Dual
8147,Micro,Dual
8146,Micro,Dual
8145,Nano,Dual
8125,Nano,Dual
8101,Micro,Dual
8038,Nano,Dual
7946,Micro,Dual
7939,Micro,Dual
7918,Nano,Dual
7878,Nano,Dual
7865,Micro,Dual
7850,Nano,Dual
7850,Micro,Dual
7802,Micro,Dual
7755,Nano,Dual
7742,Micro,Dual
7605,Mini,Dual
8142,Micro,Dual
7557,Nano,Dual
7557,Micro,Dual
7539,Nano,Dual
7711,Micro,Dual
7552,Micro,Single
7552,Micro,Dual
7540,Micro,Dual
7354,Nano,Dual
7511,Nano,Dual
8043,Micro,Dual
7233,Micro,Dual
7233,Mini,Dual
7214,Nano,Dual
7214,Micro,Dual
7197,Micro,Dual
7192,Micro,Dual
7192,Mini,Dual
7147,Micro,Dual
7046,Micro,Dual
7886,Micro,Dual
7088,Micro,Dual
7167,Micro,Dual
7167,Mini,Dual
7090,Micro,Dual
7063,Micro,Dual
6938,Micro,Dual
6919,Nano,Dual
6848,Micro,Dual
6789,Mini,Dual
6788,Mini,Dual
6787,Mini,Dual
6739,Micro,Dual
6643,Nano,Single
6643,Nano,Dual
6643,Micro,Single
6643,Micro,Dual
6642,Micro,Dual
6396,Micro,Dual
6293,Mini,Dual
6370,Mini,Dual
6296,Mini,Dual
6674,Mini,Dual
6283,Mini,Dual
6159,Micro,Dual
6158,Micro,Dual
5894,Mini,Dual
5893,Mini,Dual
5830,Mini,Dual
5851,Mini,Dual
5689,Mini,Dual
5612,Mini,Dual
5450,Mini,Dual
5850,Mini,Dual
5244,Mini,Dual
5247,Mini,Single
5247,Mini,Dual
5463,Mini,Dual
5462,Mini,Dual
5245,Mini,Dual
5333,Mini,Dual
5246,Mini,Dual
5243,Mini,Dual
5140,Mini,Dual
5095,Mini,Dual
5094,Mini,Dual
5060,Mini,Dual
4911,Mini,Dual
10742,Nano,Dual
10743,Nano,Dual
10744,Nano,Dual
10585,Nano,Dual
10586,Nano,Dual
10564,Nano,Dual
10464,Nano,Dual
10558,Nano,Dual
10463,Nano,Dual
10459,Nano,Dual
10597,Nano,Dual
10368,Nano,Dual
10382,Nano,Dual
10090,Nano,Dual
10088,Nano,Single
10088,Nano,Dual
10087,Nano,Single
10087,Nano,Dual
10086,Nano,Single
10086,Nano,Dual
9906,Nano,Single
9906,Nano,Dual
9844,Nano,Single
9844,Nano,Dual
9827,Nano,Single
9827,Nano,Dual
9828,Nano,Dual
9805,Nano,Single
9805,Nano,Dual
9804,Nano,Single
9804,Nano,Dual
9753,Nano,Dual
9752,Nano,Single
9752,Nano,Dual
9751,Nano,Single
9751,Nano,Dual
9607,Nano,Single
9607,Nano,Dual
9540,Nano,Single
9540,Nano,Dual
9585,Nano,Single
9585,Nano,Dual
9586,Nano,Single
9586,Nano,Dual
9587,Nano,Single
9587,Nano,Dual
9411,Nano,Single
9411,Nano,Dual
9300,Nano,Single
9300,Nano,Dual
9309,Nano,Dual
9305,Nano,Single
9305,Nano,Dual
9304,Nano,Single
9304,Nano,Dual
9285,Nano,Single
9285,Nano,Dual
9278,Nano,Single
9278,Nano,Dual
9228,Nano,Single
9228,Nano,Dual
9206,Nano,Single
9206,Nano,Dual
9115,Nano,Single
9115,Nano,Dual
9090,Nano,Single
9090,Nano,Dual
9074,Nano,Single
9074,Nano,Dual
9073,Nano,Single
9073,Nano,Dual
9006,Nano,Dual
8712,Nano,Single
8712,Nano,Dual
8781,Nano,Single
8781,Nano,Dual
8756,Nano,Single
8756,Nano,Dual
8466,Nano,Single
8466,Nano,Dual
8492,Nano,Single
8492,Nano,Dual
8491,Nano,Single
8491,Nano,Dual
8490,Nano,Single
8490,Nano,Dual
8817,Nano,Single
8817,Nano,Dual
8489,Nano,Single
8489,Nano,Dual
8488,Micro,Single
8488,Micro,Dual
8238,Nano,Single
8238,Nano,Dual
8158,Nano,Single
8158,Nano,Dual
8133,Nano,Single
8133,Nano,Dual
8132,Micro,Single
8132,Micro,Dual
8079,Nano,Single
8079,Nano,Dual
7980,Micro,Single
7980,Micro,Dual
